Label,Site,Genus,Treatment,Genotype,Color_type,Color,Name,Area1,Mean_frag,StdDev1,Mode1,Min1,Max1,MinThr1,MaxThr1,Label_match
DL_Poc_T2_DL01.jpg_HSB,DL,Poc,T2,DL01,HSB,G,DL_Poc_T2_DL01.jpg_HSB_08,212699,142.197,49.983,170,0,255,0,255,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_HSB,DL,Poc,T2,DL01,HSB,B,DL_Poc_T2_DL01.jpg_HSB_09,212699,62.704,18.85,43,5,114,0,255,DL_Poc_T2_DL01
DL_Poc_T2_DL02.jpg_RGB,DL,Poc,T2,DL02,RGB,R,DL_Poc_T2_DL02.jpg_RGB_01,149944,76.088,20.671,86,0,128,0,255,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_RGB,DL,Poc,T2,DL02,RGB,G,DL_Poc_T2_DL02.jpg_RGB_02,149944,60.629,20.691,70,2,114,0,255,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_RGB,DL,Poc,T2,DL02,RGB,B,DL_Poc_T2_DL02.jpg_RGB_03,149944,42.766,22.054,22,0,113,0,255,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_LAB,DL,Poc,T2,DL02,LAB,R,DL_Poc_T2_DL02.jpg_LAB_04,149944,26.603,8.994,30.842,0.392,46.931,-3.40E+38,3.40E+38,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_LAB,DL,Poc,T2,DL02,LAB,G,DL_Poc_T2_DL02.jpg_LAB_05,149944,4.2,2.504,4.991,-10.272,11.255,-3.40E+38,3.40E+38,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_LAB,DL,Poc,T2,DL02,LAB,B,DL_Poc_T2_DL02.jpg_LAB_06,149944,13.599,5.624,14.826,-5.158,24.329,-3.40E+38,3.40E+38,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_HSB,DL,Poc,T2,DL02,HSB,R,DL_Poc_T2_DL02.jpg_HSB_07,149944,27.645,25.084,23,0,250,0,255,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_HSB,DL,Poc,T2,DL02,HSB,G,DL_Poc_T2_DL02.jpg_HSB_08,149944,119.022,47.921,127,0,255,0,255,DL_Poc_T2_DL02
DL_Poc_T2_DL02.jpg_HSB,DL,Poc,T2,DL02,HSB,B,DL_Poc_T2_DL02.jpg_HSB_09,149944,76.491,20.408,86,2,128,0,255,DL_Poc_T2_DL02
DL_Poc_T2_DL03.jpg_RGB,DL,Poc,T2,DL03,RGB,R,DL_Poc_T2_DL03.jpg_RGB_01,231524,70.734,22.403,47,6,126,0,255,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_RGB,DL,Poc,T2,DL03,RGB,G,DL_Poc_T2_DL03.jpg_RGB_02,231524,51.411,21.694,29,0,107,0,255,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_RGB,DL,Poc,T2,DL03,RGB,B,DL_Poc_T2_DL03.jpg_RGB_03,231524,34.202,21.085,11,0,109,0,255,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_LAB,DL,Poc,T2,DL03,LAB,R,DL_Poc_T2_DL03.jpg_LAB_04,231524,22.942,9.68,11.519,0.546,45.492,-3.40E+38,3.40E+38,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_LAB,DL,Poc,T2,DL03,LAB,G,DL_Poc_T2_DL03.jpg_LAB_05,231524,6.399,2.321,6.064,-7.875,17.522,-3.40E+38,3.40E+38,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_LAB,DL,Poc,T2,DL03,LAB,B,DL_Poc_T2_DL03.jpg_LAB_06,231524,13.913,4.731,12.856,-7.146,23.982,-3.40E+38,3.40E+38,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_HSB,DL,Poc,T2,DL03,HSB,R,DL_Poc_T2_DL03.jpg_HSB_07,231524,21.079,15.418,20,0,252,0,255,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_HSB,DL,Poc,T2,DL03,HSB,G,DL_Poc_T2_DL03.jpg_HSB_08,231524,141.266,46.714,127,0,255,0,255,DL_Poc_T2_DL03
DL_Poc_T2_DL03.jpg_HSB,DL,Poc,T2,DL03,HSB,B,DL_Poc_T2_DL03.jpg_HSB_09,231524,70.836,22.366,47,6,126,0,255,DL_Poc_T2_DL03
DL_Poc_T2_DL04.jpg_RGB,DL,Poc,T2,DL04,RGB,R,DL_Poc_T2_DL04.jpg_RGB_01,137474,63.628,17.489,62,4,114,0,255,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_RGB,DL,Poc,T2,DL04,RGB,G,DL_Poc_T2_DL04.jpg_RGB_02,137474,44.692,18.577,35,2,97,0,255,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_RGB,DL,Poc,T2,DL04,RGB,B,DL_Poc_T2_DL04.jpg_RGB_03,137474,34.067,21.955,14,0,96,0,255,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_LAB,DL,Poc,T2,DL04,LAB,R,DL_Poc_T2_DL04.jpg_LAB_04,137474,20.147,8.124,17.163,1.035,40.545,-3.40E+38,3.40E+38,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_LAB,DL,Poc,T2,DL04,LAB,G,DL_Poc_T2_DL04.jpg_LAB_05,137474,7.383,4.481,5.948,-8.699,17.432,-3.40E+38,3.40E+38,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_LAB,DL,Poc,T2,DL04,LAB,B,DL_Poc_T2_DL04.jpg_LAB_06,137474,10.287,4.313,12.921,-5.146,21.823,-3.40E+38,3.40E+38,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_HSB,DL,Poc,T2,DL04,HSB,R,DL_Poc_T2_DL04.jpg_HSB_07,137474,21.09,25.704,18,0,253,0,255,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_HSB,DL,Poc,T2,DL04,HSB,G,DL_Poc_T2_DL04.jpg_HSB_08,137474,129.822,54.406,163,0,255,0,255,DL_Poc_T2_DL04
DL_Poc_T2_DL04.jpg_HSB,DL,Poc,T2,DL04,HSB,B,DL_Poc_T2_DL04.jpg_HSB_09,137474,63.961,17.534,62,9,114,0,255,DL_Poc_T2_DL04
DL_Poc_T2_DL05.jpg_RGB,DL,Poc,T2,DL05,RGB,R,DL_Poc_T2_DL05.jpg_RGB_01,209451,55.279,16.896,56,0,109,0,255,DL_Poc_T2_DL05
